Model,Year,Region,Color,Fuel_Type,Transmission,Engine_Size_L,Mileage_KM,Price_USD,Sales_Volume,Sales_Classification
X5,2019,Europe,White,Electric,Automatic,3.2,171256,97643,8985,High
M5,2018,North America,Red,Hybrid,Manual,2.5,13975,100473,6125,Low
X3,2018,North America,White,Hybrid,Manual,4.8,172712,104231,5284,Low
3 Series,2017,Europe,Blue,Petrol,Manual,2.6,185365,82322,625,Low
X5,2010,Middle East,Blue,Hybrid,Manual,1.7,100907,88374,2910,Low
M3,2018,Europe,White,Diesel,Manual,4.5,66713,72014,4190,Low
5 Series,2020,Asia,Grey,Diesel,Manual,4.2,44171,85504,7586,High
3 Series,2019,South America,White,Diesel,Manual,4.4,85473,87159,8359,High
X5,2018,Middle East,Grey,Electric,Manual,3.4,120823,113003,2507,Low
5 Series,2016,Europe,Black,Petrol,Manual,2.1,106786,119311,5212,Low
X3,2011,Asia,White,Diesel,Manual,2.8,145982,88936,3102,Low
3 Series,2021,Europe,Red,Diesel,Automatic,3.6,118171,76321,7533,High
X1,2023,South America,Black,Petrol,Automatic,1.6,113238,79243,4839,Low
M3,2011,Africa,Black,Electric,Automatic,2.2,59875,94989,3435,Low
i8,2012,South America,Red,Diesel,Automatic,3.4,115422,109356,3989,Low
3 Series,2014,Asia,Blue,Petrol,Manual,4.9,47246,109664,827,Low
M5,2020,Middle East,Grey,Diesel,Manual,3.7,164821,80249,7335,High
3 Series,2010,Africa,Blue,Hybrid,Manual,1.9,43912,83300,2746,Low
5 Series,2016,Asia,Grey,Hybrid,Automatic,2.1,109923,110357,2610,Low
5 Series,2010,North America,Grey,Diesel,Automatic,4.3,158742,71694,8048,High
X1,2024,Europe,Red,Hybrid,Automatic,2.5,101160,78789,1519,Low
i3,2023,South America,Silver,Petrol,Manual,3.6,68438,87114,1841,Low
X6,2017,South America,Blue,Electric,Automatic,2.8,134602,98083,4916,Low
7 Series,2017,South America,Blue,Electric,Automatic,2.3,95092,103364,9390,High
i8,2014,Asia,Silver,Hybrid,Manual,4.4,128538,87782,5774,Low
3 Series,2016,Asia,Black,Electric,Manual,3.1,67558,100090,8495,High
5 Series,2015,North America,Silver,Electric,Manual,3.1,198463,75897,9651,High
X1,2015,North America,Black,Hybrid,Automatic,3.8,115706,82060,6054,Low
M3,2017,Asia,Red,Petrol,Manual,2.6,143944,102453,5776,Low
5 Series,2018,Africa,Black,Petrol,Automatic,2.7,77674,109174,3944,Low
i8,2021,Middle East,Silver,Diesel,Manual,4.4,107998,90413,2088,Low
X6,2024,Middle East,Blue,Hybrid,Automatic,3.2,22196,79674,3021,Low
5 Series,2020,Middle East,Red,Electric,Manual,2.1,151049,76074,9900,High
3 Series,2019,Europe,Silver,Electric,Manual,1.8,169010,119494,9617,High
X1,2022,Africa,Grey,Electric,Manual,4.5,167104,84047,1939,Low
7 Series,2024,North America,Red,Diesel,Manual,3.8,65638,91553,8540,High
X5,2016,Africa,Grey,Petrol,Manual,1.8,116567,78859,5280,Low
M3,2015,Africa,White,Diesel,Automatic,4.2,166856,81214,4136,Low
M5,2016,Asia,Red,Diesel,Manual,1.6,21471,109729,8388,High
M5,2023,Middle East,Blue,Hybrid,Manual,3.4,24274,70979,1582,Low
i3,2024,Middle East,Grey,Hybrid,Manual,4.3,108454,100339,4085,Low
X1,2012,Europe,White,Electric,Automatic,1.8,133035,85861,2217,Low
X6,2017,Asia,Blue,Petrol,Automatic,2.1,3522,73772,7379,High
i3,2011,Middle East,Black,Petrol,Manual,4.4,190148,95288,2278,Low
7 Series,2020,Europe,Red,Petrol,Automatic,3.0,126405,82763,8213,High
X3,2016,Middle East,Grey,Diesel,Manual,4.3,87824,72758,8476,High
5 Series,2011,South America,Blue,Diesel,Automatic,3.2,32739,91454,4752,Low
i8,2023,North America,Red,Petrol,Automatic,3.0,97782,105442,1568,Low
5 Series,2013,Africa,Grey,Electric,Automatic,4.3,43303,113272,3375,Low
X6,2016,Africa,Silver,Hybrid,Automatic,1.9,37861,86545,2829,Low
X6,2012,South America,Blue,Hybrid,Manual,3.7,89006,72469,6355,Low
5 Series,2011,South America,Grey,Petrol,Manual,4.0,126614,99031,649,Low
M3,2020,South America,Black,Electric,Automatic,4.6,161851,91250,8066,High
M5,2019,Middle East,Silver,Petrol,Automatic,2.3,104459,76957,9507,High
i8,2010,Europe,Black,Diesel,Automatic,3.0,125917,91594,2115,Low
X3,2012,Europe,Silver,Hybrid,Manual,4.4,81291,102431,2403,Low
M3,2021,Middle East,Blue,Electric,Automatic,4.1,199011,98013,3024,Low
5 Series,2021,Africa,Grey,Petrol,Manual,2.8,86491,97628,6935,Low
3 Series,2022,Africa,Red,Electric,Manual,4.4,194390,107567,3932,Low
X6,2011,South America,Silver,Electric,Manual,1.8,76567,77383,7381,High
i3,2012,South America,Grey,Electric,Automatic,3.7,155611,74991,4946,Low
X6,2020,Africa,White,Diesel,Automatic,4.4,61126,72548,3502,Low
M5,2017,Asia,Black,Petrol,Automatic,2.8,148834,112322,9334,High
3 Series,2019,Africa,Black,Hybrid,Automatic,4.1,27682,99866,626,Low
7 Series,2016,South America,Grey,Petrol,Automatic,3.0,18532,110570,8708,High
M3,2016,Africa,White,Electric,Manual,4.4,156133,107093,7712,High
X6,2021,Middle East,Silver,Petrol,Automatic,3.4,113817,83627,2828,Low
X3,2016,Africa,Silver,Petrol,Manual,4.2,150568,115908,3779,Low
3 Series,2022,South America,Blue,Hybrid,Automatic,3.9,198096,101146,1972,Low
7 Series,2015,Africa,Silver,Electric,Manual,4.7,20478,83218,3005,Low
X3,2018,North America,Grey,Hybrid,Automatic,4.2,167494,89272,1705,Low
X1,2022,Europe,Grey,Hybrid,Automatic,2.3,144493,117470,4586,Low
i3,2011,Asia,Silver,Hybrid,Automatic,4.4,83562,101612,2844,Low
X1,2022,Asia,Silver,Petrol,Manual,3.7,34528,81358,2517,Low
X6,2019,Asia,Silver,Diesel,Automatic,4.6,76421,71812,9925,High
i3,2021,North America,Grey,Diesel,Automatic,1.9,32813,108119,4444,Low
i8,2011,Africa,Blue,Petrol,Automatic,4.3,108111,82019,5969,Low
X6,2016,Asia,Red,Electric,Manual,3.3,61356,113700,8460,High
i3,2012,South America,Black,Hybrid,Manual,2.6,194671,94809,8414,High
7 Series,2019,Middle East,Silver,Hybrid,Automatic,2.9,167181,80146,5149,Low
i8,2023,Europe,Red,Hybrid,Automatic,2.2,19383,91119,5246,Low
M3,2020,Europe,White,Electric,Automatic,3.5,30265,78330,7397,High
3 Series,2016,South America,Silver,Petrol,Automatic,1.8,192305,102998,492,Low
X5,2022,Europe,White,Petrol,Manual,4.2,153816,113580,473,Low
7 Series,2016,South America,Silver,Petrol,Manual,3.3,33036,117472,2872,Low
X6,2023,Asia,Silver,Petrol,Manual,1.6,55529,99125,6043,Low
5 Series,2013,Asia,Blue,Electric,Automatic,4.8,188385,99615,9266,High
3 Series,2022,Asia,Red,Hybrid,Manual,2.1,89684,101154,882,Low
X5,2023,South America,Black,Electric,Manual,3.4,199516,74516,6453,Low
5 Series,2022,South America,Silver,Electric,Manual,3.0,105063,82757,9059,High
X1,2021,North America,Silver,Diesel,Automatic,2.0,17861,83621,440,Low
X1,2018,Europe,Black,Diesel,Automatic,3.2,63144,90348,5873,Low
3 Series,2017,Middle East,Red,Hybrid,Manual,4.3,186625,96847,5333,Low
X1,2021,South America,Red,Electric,Automatic,3.1,95110,86243,4773,Low
M5,2019,Asia,Silver,Diesel,Manual,2.2,54322,81565,1847,Low
3 Series,2018,North America,Grey,Petrol,Automatic,2.8,106259,73164,952,Low
M5,2024,North America,Red,Electric,Automatic,3.4,77196,110736,5858,Low
i8,2016,Asia,Silver,Diesel,Manual,1.8,68526,80491,7284,High
X3,2023,Africa,Red,Diesel,Automatic,4.4,107744,113606,734,Low
5 Series,2010,Africa,Blue,Hybrid,Automatic,2.4,164245,100115,999,Low
X6,2022,Europe,White,Electric,Manual,4.4,111818,115531,614,Low
i8,2023,Africa,Black,Petrol,Manual,3.4,38190,99608,7440,High
M5,2011,Asia,Blue,Diesel,Manual,2.1,147025,74535,3629,Low
X3,2013,Africa,Grey,Electric,Automatic,4.4,62494,91123,2173,Low
X1,2023,Middle East,Silver,Hybrid,Automatic,4.1,153953,116980,3926,Low
5 Series,2014,Middle East,Grey,Petrol,Manual,4.4,99740,80377,2477,Low
i3,2024,Asia,Blue,Petrol,Automatic,1.9,185096,94513,1758,Low
i8,2024,Asia,Red,Hybrid,Automatic,4.9,30067,109076,2244,Low
3 Series,2010,Africa,Blue,Diesel,Manual,1.7,182041,115046,3734,Low
X1,2018,Africa,Blue,Diesel,Automatic,1.8,150776,110745,7200,High
3 Series,2013,North America,White,Diesel,Automatic,3.0,177180,87941,9408,High
X6,2021,South America,Red,Petrol,Automatic,2.5,64531,92235,4250,Low
M5,2014,Europe,Grey,Electric,Manual,2.8,178390,105619,3037,Low
X6,2021,North America,White,Hybrid,Manual,4.1,65897,98902,232,Low
X6,2017,Asia,Red,Petrol,Automatic,2.0,23954,114536,967,Low
M5,2024,Europe,Red,Diesel,Manual,2.2,123289,99965,8472,High
M3,2017,Asia,Grey,Petrol,Automatic,2.5,133339,106659,4716,Low
M3,2020,North America,Blue,Petrol,Automatic,3.8,54247,88640,1580,Low
5 Series,2022,South America,White,Diesel,Manual,2.2,162685,73078,4688,Low
i8,2011,North America,Black,Petrol,Automatic,3.5,55483,115744,763,Low
3 Series,2016,North America,Silver,Petrol,Automatic,3.3,75115,111776,6971,Low
3 Series,2020,Africa,Grey,Petrol,Automatic,2.2,177326,80018,9875,High
i3,2013,South America,Blue,Hybrid,Manual,3.7,144140,105413,8228,High
X5,2022,Africa,Red,Hybrid,Manual,2.9,35125,80523,5648,Low
i8,2015,South America,Silver,Hybrid,Manual,1.9,21078,116468,4103,Low
M3,2022,Europe,Silver,Petrol,Automatic,5.0,14828,74162,5557,Low
i8,2019,Asia,Grey,Diesel,Manual,2.2,41711,81871,8466,High
7 Series,2020,Middle East,White,Petrol,Manual,3.7,64299,94502,2240,Low
X3,2018,North America,Red,Electric,Automatic,3.2,129859,106508,7911,High
7 Series,2019,North America,Grey,Electric,Manual,3.2,108063,109430,6382,Low
X6,2010,South America,Black,Petrol,Automatic,4.3,43745,105789,6761,Low
i8,2019,Europe,Black,Petrol,Automatic,2.3,63081,95552,8940,High
X5,2017,North America,Silver,Diesel,Manual,4.3,148363,119227,5366,Low
M5,2015,Africa,Silver,Diesel,Automatic,2.7,19043,100072,6667,Low
X1,2014,Europe,Grey,Diesel,Automatic,2.1,142509,78858,4444,Low
5 Series,2014,Africa,Blue,Hybrid,Manual,2.5,47007,91576,9194,High
X1,2015,South America,Grey,Petrol,Manual,2.7,122782,95520,6424,Low
3 Series,2024,South America,Grey,Hybrid,Automatic,3.4,70284,78578,9926,High
i8,2010,Europe,White,Hybrid,Automatic,4.7,49109,107173,2985,Low
i3,2018,Europe,Silver,Hybrid,Automatic,1.8,90458,105424,9512,High
X6,2020,Africa,Black,Hybrid,Automatic,2.3,173209,113588,1245,Low
5 Series,2019,Africa,Black,Electric,Manual,4.6,155346,98839,2801,Low
7 Series,2012,Europe,Red,Hybrid,Manual,4.3,98805,112959,8935,High
5 Series,2011,Asia,Blue,Petrol,Manual,4.1,171926,109536,3132,Low
X5,2023,Asia,White,Petrol,Manual,3.7,13531,92604,2526,Low
i8,2010,Middle East,Black,Hybrid,Automatic,3.3,6337,119046,9202,High
X1,2012,Middle East,Blue,Hybrid,Manual,2.3,29166,92066,4705,Low
i3,2015,Middle East,Black,Hybrid,Automatic,4.6,152724,77150,7945,High
X5,2017,Africa,Silver,Diesel,Manual,4.7,30060,115084,6055,Low
5 Series,2022,South America,Grey,Diesel,Manual,2.7,66726,99246,4809,Low
M3,2024,Africa,Grey,Diesel,Manual,3.9,845,109818,1629,Low
3 Series,2018,Middle East,Red,Electric,Automatic,3.8,141764,104974,8581,High
M5,2011,South America,Black,Hybrid,Manual,4.9,57511,89085,5138,Low
i3,2017,Middle East,Blue,Electric,Manual,3.0,58402,110983,2793,Low
7 Series,2012,Asia,Black,Petrol,Automatic,2.8,135380,73561,2753,Low
5 Series,2020,Africa,Silver,Diesel,Manual,4.2,39422,105387,2499,Low
X3,2018,Africa,Red,Electric,Manual,4.6,34994,70447,5444,Low
M5,2019,Middle East,Grey,Diesel,Manual,4.0,45406,70738,8115,High
i8,2020,Europe,Red,Petrol,Automatic,2.5,62162,70938,1202,Low
X5,2011,North America,Grey,Hybrid,Manual,2.6,185146,119449,9760,High
M3,2017,Middle East,Blue,Diesel,Automatic,3.1,21391,116619,6841,Low
7 Series,2021,Asia,Grey,Diesel,Manual,2.8,147295,119347,7789,High
M5,2015,Middle East,White,Electric,Manual,2.3,113012,105432,8566,High
X5,2017,Middle East,Red,Hybrid,Automatic,3.5,199276,111998,7427,High
3 Series,2020,Asia,Blue,Electric,Manual,2.8,188854,84911,6740,Low
3 Series,2019,Europe,Black,Hybrid,Manual,3.5,52208,94115,3555,Low
X1,2011,Africa,White,Electric,Automatic,4.7,119741,101077,9547,High
7 Series,2021,Europe,Grey,Diesel,Manual,4.2,172312,78303,9079,High
X6,2021,North America,Grey,Petrol,Automatic,2.1,38975,89249,4132,Low
X3,2014,Europe,Blue,Diesel,Manual,3.3,47787,98161,2282,Low
M5,2022,Europe,Grey,Diesel,Automatic,3.8,79511,98141,3756,Low
3 Series,2022,South America,Blue,Diesel,Manual,3.3,158511,89013,1042,Low
5 Series,2023,Asia,Black,Petrol,Automatic,1.6,28179,73824,9426,High
3 Series,2022,Asia,Black,Diesel,Manual,2.5,188959,86037,3138,Low
7 Series,2012,Europe,Red,Electric,Automatic,4.4,6398,106750,197,Low
X5,2017,South America,Black,Hybrid,Automatic,3.9,38949,73379,1452,Low
7 Series,2017,Europe,Black,Electric,Automatic,3.1,24333,74576,4162,Low
X6,2017,Middle East,Grey,Electric,Automatic,2.9,174562,74647,3236,Low
7 Series,2020,North America,Grey,Petrol,Automatic,2.3,37748,111523,7286,High
X5,2022,North America,Black,Diesel,Manual,3.8,60370,91843,9200,High
5 Series,2022,Asia,Silver,Petrol,Automatic,3.5,2247,78078,2228,Low
M3,2010,North America,White,Petrol,Automatic,2.7,147719,98276,4456,Low
5 Series,2015,Africa,Blue,Petrol,Automatic,2.7,48261,90869,2397,Low
X6,2017,Asia,White,Petrol,Automatic,2.9,745,115176,5399,Low
i8,2012,South America,Black,Diesel,Manual,2.5,61296,92927,8050,High
X1,2022,Middle East,Red,Electric,Automatic,1.8,4674,73216,3688,Low
X6,2022,Europe,White,Petrol,Automatic,2.6,179168,102542,8047,High
X5,2014,Africa,Red,Hybrid,Automatic,4.2,39352,85305,739,Low
X1,2019,Asia,Grey,Diesel,Manual,2.9,149565,116395,5178,Low
3 Series,2020,Africa,Black,Hybrid,Manual,4.9,8916,85674,1901,Low
X6,2021,Middle East,Blue,Hybrid,Automatic,3.7,66705,99360,1110,Low
3 Series,2014,Europe,Grey,Hybrid,Automatic,2.0,76367,111117,5455,Low
3 Series,2022,Asia,Red,Hybrid,Manual,3.6,168717,118637,1700,Low
7 Series,2019,Middle East,Blue,Petrol,Manual,3.3,182768,98538,7456,High
M5,2012,North America,Black,Hybrid,Manual,3.1,71237,79910,1469,Low
3 Series,2024,Middle East,Blue,Diesel,Automatic,3.3,45834,86571,1675,Low
3 Series,2016,Middle East,White,Diesel,Manual,2.9,84993,97599,9447,High
i3,2019,Asia,Red,Electric,Manual,4.0,61720,117782,5764,Low
7 Series,2019,Middle East,Grey,Electric,Automatic,4.6,20217,84944,5707,Low
7 Series,2023,North America,Black,Petrol,Manual,1.5,67239,95084,8077,High
7 Series,2024,Africa,Grey,Hybrid,Automatic,2.5,148488,81169,4313,Low
X3,2011,Asia,Blue,Electric,Automatic,4.6,46484,97811,4630,Low
X6,2013,South America,Blue,Diesel,Automatic,2.2,99157,74070,4319,Low
M3,2023,North America,Silver,Electric,Manual,4.1,21033,111654,8258,High
i3,2022,North America,White,Diesel,Automatic,3.7,168059,87695,9646,High
X1,2022,Asia,Red,Diesel,Automatic,3.0,89757,118091,7067,High
i8,2016,Asia,Silver,Diesel,Automatic,3.4,170330,91493,3348,Low
X5,2022,Asia,Grey,Electric,Automatic,3.8,140347,89875,4958,Low
i8,2023,Middle East,Red,Hybrid,Manual,2.2,150837,100179,2075,Low
i3,2020,South America,Blue,Diesel,Manual,3.9,56221,101876,4912,Low
X3,2010,Middle East,Blue,Diesel,Automatic,1.5,182094,75123,1537,Low
7 Series,2018,Africa,Black,Hybrid,Automatic,3.4,84222,93123,961,Low
5 Series,2010,Europe,Silver,Diesel,Manual,2.9,64570,113352,1273,Low
X5,2017,Europe,White,Electric,Automatic,2.6,14883,109983,9113,High
i8,2024,Europe,White,Electric,Manual,3.3,4153,113450,6750,Low
i3,2011,North America,Black,Electric,Manual,3.8,170808,107598,5286,Low
i8,2012,Europe,White,Hybrid,Automatic,3.2,96969,101607,2547,Low
M5,2015,Asia,White,Hybrid,Automatic,2.9,171415,99779,7311,High
3 Series,2012,Middle East,Red,Electric,Automatic,1.6,17317,101802,7146,High
M5,2023,Asia,Silver,Diesel,Automatic,2.8,58625,107603,5559,Low
i8,2018,Europe,Blue,Diesel,Manual,3.1,26996,101003,8803,High
X6,2024,Europe,Grey,Diesel,Manual,2.5,115419,101454,4743,Low
i3,2021,Africa,Grey,Electric,Automatic,1.7,183975,93355,7812,High
X1,2022,Middle East,Red,Electric,Automatic,4.3,49109,114754,9499,High
X3,2015,South America,Red,Hybrid,Manual,4.1,170710,78283,6849,Low
i8,2013,South America,Silver,Diesel,Manual,4.2,162953,116187,4750,Low
X5,2013,Middle East,Grey,Hybrid,Manual,3.2,60376,110506,1225,Low
M3,2013,North America,Black,Electric,Manual,2.7,102132,79420,8178,High
M5,2011,South America,Silver,Hybrid,Manual,4.8,36347,80245,3334,Low
7 Series,2013,South America,Silver,Hybrid,Automatic,1.7,163098,70538,6490,Low
X3,2021,Asia,White,Electric,Manual,3.6,32192,70194,3924,Low
X3,2015,Middle East,Blue,Petrol,Manual,1.5,27585,84087,623,Low
X5,2010,Europe,Silver,Hybrid,Manual,4.0,66335,76948,5400,Low
7 Series,2017,Asia,White,Electric,Manual,1.9,169278,93783,4338,Low
M5,2011,South America,Grey,Petrol,Automatic,3.6,69519,99247,3012,Low
i3,2023,South America,Silver,Diesel,Automatic,3.2,19209,107183,1150,Low
X6,2021,Europe,Silver,Diesel,Manual,2.6,99940,75471,6308,Low
i8,2020,Europe,Black,Petrol,Manual,4.6,153712,79472,5473,Low
7 Series,2021,Europe,Grey,Petrol,Automatic,4.1,107895,110697,9784,High
X6,2010,Africa,Black,Diesel,Automatic,2.6,60063,72321,5924,Low
X6,2015,North America,Blue,Petrol,Automatic,2.0,64090,100189,1765,Low
i3,2024,Asia,Blue,Diesel,Manual,4.0,77266,101016,7528,High
i3,2019,Europe,Black,Diesel,Manual,3.5,1458,71645,9763,High
i3,2023,Middle East,White,Hybrid,Manual,4.9,175287,91718,7848,High
X6,2022,Africa,White,Electric,Manual,4.8,119670,114226,6703,Low
X1,2012,Middle East,White,Electric,Manual,3.7,116749,114065,9634,High
X6,2022,Middle East,Black,Petrol,Manual,4.4,102126,100763,3044,Low
5 Series,2016,North America,Black,Diesel,Manual,1.8,135993,96208,6871,Low
X3,2024,Europe,Red,Hybrid,Manual,1.7,133877,119539,4592,Low
X6,2016,Asia,Black,Electric,Automatic,3.6,110654,112845,8099,High
i3,2022,Europe,Blue,Electric,Manual,3.6,93415,116543,1636,Low
X1,2022,Middle East,Grey,Hybrid,Automatic,4.7,69602,80678,3259,Low
X3,2020,Africa,Black,Petrol,Automatic,3.1,193984,94325,9324,High
X1,2024,Europe,White,Diesel,Automatic,1.5,123295,96699,6436,Low
M3,2020,Asia,Silver,Diesel,Manual,1.6,85914,105886,1133,Low
5 Series,2010,North America,Black,Diesel,Manual,3.6,73395,118289,6041,Low
M3,2023,Europe,Blue,Petrol,Automatic,4.9,136348,98457,9862,High
X3,2021,Asia,White,Diesel,Automatic,1.9,51572,112985,9453,High
5 Series,2017,Middle East,Red,Hybrid,Automatic,1.9,137444,81065,6371,Low
5 Series,2014,Europe,Red,Electric,Manual,2.0,135073,118142,2836,Low
X3,2020,North America,Red,Hybrid,Manual,4.7,54433,86895,7629,High
X3,2013,Asia,Silver,Diesel,Manual,2.2,18805,93438,2202,Low
3 Series,2015,South America,Red,Diesel,Manual,1.8,161010,104553,8685,High
i8,2012,Europe,Blue,Electric,Manual,2.7,43081,82301,8308,High
M5,2020,Middle East,Red,Petrol,Manual,3.2,129385,92628,2677,Low
X6,2010,North America,White,Electric,Automatic,3.8,59049,114812,2448,Low
M5,2019,Asia,Blue,Hybrid,Automatic,2.8,82713,85478,8257,High
7 Series,2015,North America,Silver,Diesel,Manual,4.9,114371,105407,7548,High
i3,2011,Europe,Blue,Petrol,Manual,1.8,119242,93973,3938,Low
M3,2022,North America,Red,Diesel,Automatic,3.1,174082,76907,4593,Low
X5,2010,South America,White,Electric,Automatic,2.2,133784,116754,7988,High
5 Series,2018,North America,Red,Diesel,Automatic,3.5,89752,100098,4611,Low
i3,2024,Asia,Blue,Petrol,Automatic,4.2,129913,109980,6640,Low
M5,2017,South America,White,Hybrid,Manual,4.1,95609,88614,1446,Low
3 Series,2021,North America,Black,Electric,Automatic,4.1,89356,112297,7965,High
M3,2023,North America,Silver,Diesel,Manual,2.5,136785,80930,6732,Low
X5,2010,South America,Grey,Petrol,Automatic,3.9,129157,99059,7024,High
7 Series,2022,Europe,Blue,Electric,Manual,2.7,64806,75351,8756,High
7 Series,2017,South America,Silver,Electric,Automatic,4.0,9803,98722,7709,High
7 Series,2024,Europe,White,Diesel,Manual,2.2,162681,74026,2133,Low
5 Series,2023,Europe,Blue,Petrol,Manual,3.8,145561,90206,2314,Low
5 Series,2011,Africa,Red,Electric,Automatic,3.4,170394,119524,5356,Low
3 Series,2013,Africa,Black,Diesel,Automatic,3.6,94816,94380,3930,Low
X1,2016,Europe,Silver,Petrol,Manual,3.4,108138,72686,9600,High
3 Series,2022,Africa,White,Electric,Manual,2.9,173760,115144,503,Low
i3,2021,Asia,White,Petrol,Manual,3.4,199210,80660,920,Low
3 Series,2021,Europe,Black,Electric,Manual,3.0,194624,91635,4034,Low
X1,2019,Europe,White,Petrol,Manual,4.9,172810,86607,921,Low
X6,2012,Europe,Silver,Hybrid,Automatic,1.9,55933,112819,6403,Low
M3,2013,Asia,Blue,Electric,Automatic,2.2,143080,77590,2456,Low
7 Series,2023,North America,Blue,Electric,Manual,2.7,19285,104207,8205,High
X5,2018,Europe,Blue,Hybrid,Manual,3.7,3105,89585,7681,High
3 Series,2023,Asia,Blue,Hybrid,Automatic,2.1,132674,99213,9342,High
X5,2016,Asia,Blue,Diesel,Manual,2.5,104670,117204,1828,Low
X6,2010,Europe,Grey,Hybrid,Manual,3.9,184268,88796,7660,High
M5,2023,Middle East,Blue,Hybrid,Manual,4.6,54073,114639,6579,Low
i8,2021,South America,Grey,Electric,Automatic,4.3,19210,92624,3986,Low
i3,2013,South America,White,Petrol,Automatic,2.1,193073,79706,6139,Low
3 Series,2013,South America,Silver,Diesel,Automatic,3.5,150125,110707,4885,Low
M5,2018,Middle East,Blue,Electric,Automatic,1.6,7012,112800,9345,High
i8,2024,South America,Blue,Petrol,Automatic,2.0,163335,107751,152,Low
7 Series,2015,Middle East,White,Diesel,Manual,3.0,15807,110320,9417,High
3 Series,2015,Africa,Blue,Hybrid,Automatic,2.2,114333,115497,8597,High
3 Series,2014,South America,Grey,Electric,Automatic,2.9,31907,115004,779,Low
X1,2014,Asia,Grey,Hybrid,Automatic,3.2,184349,72676,1029,Low
M3,2011,Europe,Grey,Diesel,Manual,2.7,12215,118288,6705,Low
i8,2017,Asia,Black,Hybrid,Automatic,4.8,20476,100766,3505,Low
7 Series,2017,South America,White,Electric,Manual,3.5,102340,72357,336,Low
X1,2020,Europe,Red,Petrol,Automatic,4.5,82322,88896,7802,High
X1,2022,Europe,Grey,Electric,Automatic,4.2,190000,88929,5987,Low
7 Series,2010,Africa,White,Diesel,Automatic,3.8,45644,108328,9082,High
X5,2014,Europe,Blue,Diesel,Manual,1.5,184253,113495,9520,High
3 Series,2023,North America,White,Diesel,Automatic,2.7,168397,71514,6686,Low
X6,2011,North America,Red,Diesel,Automatic,1.9,65418,112808,5395,Low
M5,2023,Africa,Grey,Petrol,Manual,3.1,53318,79231,4383,Low
X6,2024,Middle East,Black,Diesel,Manual,4.1,50425,104418,1097,Low
M3,2015,North America,White,Electric,Automatic,2.8,125866,85124,207,Low
i3,2020,South America,Silver,Petrol,Manual,3.4,48608,106219,924,Low
3 Series,2010,Europe,Blue,Petrol,Manual,2.0,141501,100633,7828,High
X3,2015,North America,Black,Electric,Automatic,4.6,135090,73021,776,Low
M3,2018,Middle East,Grey,Petrol,Manual,2.1,109211,97200,4166,Low
X1,2015,Europe,Grey,Hybrid,Manual,4.5,107314,85988,1655,Low
X6,2012,North America,Blue,Hybrid,Automatic,4.8,145401,116398,8192,High
M3,2018,Africa,Grey,Petrol,Automatic,4.8,152928,111807,8940,High
X5,2010,Asia,White,Hybrid,Automatic,2.1,54456,114688,9648,High
i3,2021,Africa,Black,Petrol,Automatic,2.0,184831,106957,1965,Low
M3,2015,Middle East,Blue,Electric,Manual,3.2,113926,113000,1833,Low
5 Series,2015,Asia,Grey,Hybrid,Manual,4.2,16953,103230,6261,Low
X1,2021,Middle East,White,Petrol,Manual,4.4,73455,82944,939,Low
M5,2010,Europe,Grey,Petrol,Manual,3.5,127527,108248,2180,Low
5 Series,2019,North America,Black,Diesel,Manual,4.5,89321,86334,4945,Low
i8,2021,Asia,Red,Petrol,Automatic,4.2,186386,102049,9767,High
M3,2011,Africa,Blue,Hybrid,Automatic,1.8,97370,79312,597,Low
M5,2010,Europe,Silver,Petrol,Manual,2.7,134725,71587,5265,Low
5 Series,2023,Europe,Grey,Hybrid,Manual,2.5,143517,102977,3610,Low
7 Series,2022,South America,Red,Electric,Manual,4.1,189100,108569,7778,High
i8,2013,South America,Grey,Petrol,Manual,2.4,172642,85533,6318,Low
3 Series,2019,North America,Red,Petrol,Automatic,1.9,93940,76383,8623,High
X1,2011,South America,White,Petrol,Manual,1.6,51347,98038,3706,Low
3 Series,2015,Asia,Blue,Electric,Automatic,2.3,75043,104781,5707,Low
3 Series,2016,Europe,Silver,Diesel,Manual,4.8,69578,107391,4256,Low
M3,2023,South America,White,Diesel,Automatic,4.8,154279,118949,938,Low
X3,2019,North America,Red,Diesel,Automatic,2.5,45164,119796,2473,Low
7 Series,2011,Africa,White,Electric,Manual,2.3,196952,71833,7366,High
i8,2011,Africa,Grey,Petrol,Manual,1.8,163861,87341,6068,Low
M5,2016,South America,White,Diesel,Manual,4.9,56312,96211,6456,Low
M5,2017,South America,Grey,Petrol,Automatic,4.5,21218,83784,6521,Low
i8,2020,Asia,Blue,Electric,Automatic,3.8,101670,106967,9442,High
X5,2022,North America,Blue,Petrol,Automatic,4.4,182358,71821,7615,High
X6,2015,Asia,Silver,Petrol,Manual,3.8,55914,112890,7342,High
X3,2018,Middle East,Grey,Electric,Automatic,4.4,44457,119142,8569,High
M5,2016,Middle East,Blue,Petrol,Manual,3.2,14921,114536,9492,High
i3,2024,Africa,Grey,Diesel,Automatic,4.0,192889,99957,744,Low
i8,2018,Europe,White,Electric,Automatic,4.9,175687,82828,7917,High
M5,2021,Asia,Grey,Hybrid,Automatic,4.7,186349,78612,4020,Low
M5,2011,Africa,Black,Diesel,Manual,4.6,178131,72554,4525,Low
M5,2023,Asia,White,Petrol,Manual,3.0,23377,114249,8997,High
X5,2023,North America,Black,Petrol,Automatic,1.6,40353,112387,8196,High
